,Unnamed: 0,AIN,TRA,Admin Region No,Common Area KY,Yr Sold to State,Recording Date,LAND Value,Improvement Value,GPP KY,Exmpt Claim Type KY,GPP Value,Fixture Value,Real Est Exmpt Value,PP Exmpt Value,Fixture Exmpt Value,Hmownr Exmpt Value,1st Owner Assee Name,1st Owner Name Overflow,2nd Owner Assee Name,Special Name Assee,SA KY,SA Date of Last Chng,SA Postal City Cde,SA House Number,SA Fraction,SA Direction,SA Unit,SA ZIP Cde,SA Street Name,SA City and State,MAO KY,MAO Date Of Last Chng,MAO Postal City Cde,MA House Number,MA Fraction,MA Direction,MA Unit,MA ZIP Cde,MA Street Name,MA City and State,LDLL Narative,LDLL Lot,LDLL Division,LDLL Region,LD Line1,LD Line2,LD Line3,LD Line4,LD Line 5,Zoning Code,Use Cde,Effective Yr,YR Built,Built SQ FT Main
4760,4760,8404020054,2671,27,0,0,19670145,95246,734015,ÿ,5,0,0,829261,0,0,0,CORP OF PRESIDING BISHOP OF THE,CHURCH OF JESUS CHRIST OF LDS,COVINA 2 WARD,RE:500-5396,D,19950605,21,1023,,N,,91724,GLENDORA AVE,COVINA CA,F,20010524,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,7,1S,9.0,SUB OF THE RANCHO ADD TO SAN JOSE AND A,PORTION OF THE RANCHO SAN JOSE S 400 FT,OF E 5.40 ACS OF N 1/2 OF E 1/2 OF NE,1/4 OF SW 1/4 EX OF ST OF,,CVR171/2,7100,1963,1961,18616
4779,4779,8434016012,3065,27,0,0,19670145,358292,737011,ÿ,5,0,0,1095303,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,COVINA WARD,RE# 500-5302,D,20000307,21,1271,,W,,91722,BADILLO ST,COVINA CA,F,20010530,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,BEG PART OF,4,5,,PHILLIPS TRACT RANCHO LA PUENTE LOT COM,W ON N LINE OF BADILLO ST 362.5 FT FROM,E LINE OF LOT 4 BLK 5 TH N 0›34' E,120 FT TH S 89›16' E 65 FT TH N 0›34' E,197 FT TH S 89›16' W TO E LINE OF LARK,CVR3-RD1500*,7100,1955,1953,17152
4802,4802,8447029047,3047,06,0,0,19690724,379000,1889179,ÿ,5,0,0,2268179,0,0,0,CORP OF PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF,LATTER DAY SAINTS,RE #511-4012,D,20010601,21,656,,S,,91724,GRAND AVE,COVINA CA,F,20010601,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,10,,,*TR=MCCARTHY CO'S SUB OF BLK 1 HOLLEN-,BECK TRACT*LOT COM S 82›50' E 34.14 FT,"AND S 48›08'13"" W 22.48 FT AND S 0›03'","30"" W 145.44 FT FROM NW COR OF LOT 10","TH S 89›56'30"" E TO A PT S 89›56'30"" E",CVR110000*,7100,1973,1973,24390
4812,4812,8467016007,9495,27,0,0,19600429,227807,1178457,ÿ,5,0,0,1406264,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,,RE 500-8298,D,19950605,101,1307,,S,,91790,ORANGE AVE,WEST COVINA CA,F,20010604,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,PART OF,109,,,E J BALDWIN'S FOURTH SUB OF POR OF,RANCHO LA PUENTE LOT COM AT MOST S COR,OF LOT 109 TH NE ON NW LINE OF ORANGE,"AVE 303.33 FT TH N 48›06'20"" W 465.71 FT",TH W ON A CURVE CONCAVE TO N RADIUS,WCRA*,7100,1968,1968,17664
4816,4816,8472022001,4440,27,0,0,19670145,165674,779339,ÿ,5,0,0,945013,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,LA PUENTE WARD,RE:500-8360,D,19950605,43,15030,,,,91744,FAIRGROVE AVE,LA PUENTE CA,F,20010605,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,376,,,TRACT # 606  2.46 ACS COM S 48›07' E 107,FT FROM MOST N COR OF LOT 376 TH S,48›07' E 356.68 FT TH S 41›53' W 300 FT,TH N 48›07' W 356.68 FT TH N 41›53' E,300 FT TO BEG PART OF,LCA16000*,7100,1957,1957,12184
4834,4834,8505017012,6209,05,0,0,19670145,107672,731773,ÿ,5,0,0,839445,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,MONROVIA AND ARCADIA WARDS,RE #500-3768,D,19950605,55,532,,W,,91016,LEMON AVE,MONROVIA CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TO BEG PART OF,46,,,SANTA ANITA TRACT LOT COM AT NW COR OF,LOT 8 LOFTUS VOLLMER TRACT # 2 TH W ON S,LINE OF LEMON AVE 330 FT TH S ON W LINE,OF LOT 46  155 FT TH E 200 FT TH S,"0›01'30"" E 135 FT TH E ON N LINE OF",MORM*,7100,0,0,0
4883,4883,8538008043,3621,05,0,0,19691103,151169,451548,ÿ,5,0,0,602717,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,,RE #500-8336,D,19950605,25,11330,,,,91732,FAIRVIEW ST,EL MONTE CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,18,,,"TRACT NO 8538   LOTS 16, 17 AND",,,,,EMR1B,7100,1957,1957,15249
4922,4922,8566003020,3610,11,0,0,19830408,518734,954904,ÿ,5,0,0,1473638,0,0,0,CORP OF THE PRESIDING BISHOP OF,THE CHURCH OF JESUS CHRIST LDS,,ATTN: RE NO 500-8514,D,19950605,25,3214,,,,91731,UTAH AVE,EL MONTE CA,F,20060911,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,AND W 240 FT OF,4,,,TR=10776*S 200 FT OF W 240 FT OF LOT 3,,,,,EMR4*,7100,1984,1984,13856
4953,4953,8579016025,13180,05,0,0,20000303,338216,148655,ÿ,5,0,0,486871,0,0,0,UNIVERSAL CHURCH,,,C/O REGINA DA SILVA,D,20020301,25,213,,,,91731,BROCKWAY ST,EL MONTE CA,F,20091116,0,247,,,,7105,WALNUT ST,NEWARK NJ,,18,,,TRACT NO 6246   LOT COM AT NE COR OF,LOT 15 TH W ON N LINE OF SD LOT,149.89 FT TH N 0›04' W 20 FT TH S 89›52',W 69 FT TH S 0›04' E TO N LINE OF,BROCKWAY ST TH E THEREON AND N ON W LINE,EMR4-R3*,7100,1954,1954,5148
4972,4972,8588027001,9285,05,0,0,19670145,134606,686318,ÿ,5,0,0,820924,0,0,0,SCMC COMMUNITY OF CHRIST,,,C/O PENNY L EDWARDS,D,19930701,92,9456,,,,91780,BROADWAY,TEMPLE CITY CA,F,20150105,0,1001,,W,,64050,WALNUT ST,INDEPENDENCE MO,,42,,,MISSION VIEW ACRES LOT COM AT NE COR OF,LOT 42 TH S 9›16' E 200 FT TH S 80›44' W,190 FT TH S 9›16' E 0.49 FT TH S 80›44',W 60 FT TH N 9›16' W 200.49 FT TH N,80›44' E 250 FT TO BEG PART OF,TCR105*,7100,1958,1956,15302
4987,4987,8611035023,2045,05,0,0,19970220,433378,408616,ÿ,5,0,0,841994,0,0,0,UNIVERSAL CHURCH,,,C/O REGINA DA SILVA,D,19930701,8,445,,E,,91702,1ST ST,AZUSA CA,F,20091116,0,247,,,,7105,WALNUT ST,NEWARK NJ,,55,,,MOUNTAIN VIEW EXTENSION TRACT 0.90,MORE OR LESS AC BEING EX OF ST COM AT,SE COR OF LOT 55 TH W ON S LINE OF SD,LOT 174 FT TH N 102 FT TH W PARALLEL,WITH SD S LINE TO SE LINE OF LITTLE,AZR1C*,7100,0,0,0
4998,4998,8625003009,8803,05,0,0,19600624,73708,1395124,ÿ,5,0,0,1468832,0,0,0,CORP OF THE PRESIDING BISHOP,OF THE CH OF JESUS CHRIST,OF L D S,RE:500-5280,D,19950605,30,120,,N,,91741,OAKBANK DR,GLENDORA CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,1N R 10W AND POR OF LOT A TR NO 125,,,,*LOT COM AT NW COR OF LOT A TR NO 125,TH NE ON NW LINE OF SD LOT TO A LINE,PARALLEL WITH AND DIST E AT R/A 180,FT FROM W LINE OF SD LOT TH S ON SD,PARALLEL LINE TO N LINE OF S 171.5,GDR1,7100,1965,1964,17508
4999,4999,8625003010,8803,05,0,0,19720905,18611,127971,7,4,9000,0,146582,9000,0,0,CORP OF PRES OF LA CALIF E,STAKE CH OF JESUS CHRIST LDS,,,D,20020422,30,955,,,,91741,FOOTHILL BLVD,GLENDORA CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,STS) OF,25,1N,10.0,N 131.5 FT OF S 171.5 FT OF W 180 FT,OF SE 1/4 OF SE 1/4 OF SW 1/4 (EX OF,,,,GDR1,7100,1964,1964,4154
5022,5022,8649018031,4133,27,0,0,19670145,89029,3196526,ÿ,5,0,0,3285555,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,GLENDORA WARD,C/O RE #500-5329,D,19950605,30,251,,S,,91741,ELWOOD AVE,GLENDORA CA,F,20010620,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,BEG PART OF,14,,,JAMES F WASHBURN'S SUB OF THE NW 1/4 OF,SEC 32 T 1N R 9W LOT COM E ON N LINE OF,"LOT 14,300 FT FROM SW COR OF LOT 10 TR",# 23956 TH S PARALLEL WITH W LINE OF SD,LOT 14 TO S LINE OF SD LOT 14 TH E,GDE4,7100,1981,1981,19617
5029,5029,8660010028,15483,27,0,0,19780123,679191,5117602,ÿ,5,0,0,5796793,0,0,0,CORP OF THE PRESIDING BISHOP,OF CHURCH OF JESUS CHRIST LDS,,RE: 517-2241,D,20061012,30,2121,,E,,91740,ROUTE 66,GLENDORA CA,F,20070205,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,ADD TO SAN JOSE AND A POR OF RO SAN JOSE,,,,*LOT COM AT NE COR OF LAND DESC IN DOC,SEE ASSESSOR MAPBOOK FOR MISSING PORTION,,,,GDC_RT66SP_TCO,7100,1979,1979,25446
5036,5036,8666019009,5044,27,0,0,19621211,88621,755962,ÿ,5,0,0,844583,0,0,0,CORP OF PRESIDING BISHOP OF CH,OF JESUS CHRIST OF L D S,,RE #511-0343,D,20010723,44,2645,,,,91750,AMHERST ST,LA VERNE CA,F,20010723,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,BEG  PART OF,6,,,REPLAT OF E T PALMER'S SUB OF S 1/2 OF,"NE 1/4 OF SEC 6, T 1S R 8W   LOT COM",AT NW COR OF LOT 6 TH E ON N LINE OF,SD LOT 630 FT TH S ON W LINE OF BRAD-,FORD ST AND W ON N LINE OF AMHERST ST,LVA1*,7100,1971,1971,25687
5040,5040,8684015020,2236,27,0,0,19850301,1103334,1613654,ÿ,5,0,0,2716988,0,0,0,PRESIDING BISHOP OF THE CHURCH,OF J C OF LATTER DAY SAINTS,,,D,19950605,8,1645,,N,,91702,SAN GABRIEL CANYON RD,AZUSA CA,F,20070205,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,2,,,PARCEL MAP AS PER BK 176 P 20-21 OF P M,,,,,AZC3*,7100,1987,1987,14760
5051,5051,8709017013,9320,27,0,0,19650610,97660,3152831,ÿ,5,0,0,3250491,0,0,0,CORP OF PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF L D,,C/O CH TAX DIV 22 FL RE:514-600,D,19960616,100,20801,,,,91789,MARCON DR,WALNUT CA,F,20070205,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,2,,,*TR=8408*SW 67 FT(MEASURED AT R/A TO SW,LINE)OF LOT 3 AND THAT POR OUTSIDE CO,LTG MAINT DIST NO 1866 OF,,,WAR115000RURAL*,7100,1986,1986,24808
5055,5055,8717031006,10105,27,0,0,19731231,507048,1818274,ÿ,5,0,0,2325322,0,0,0,CORP OF PRESIDING BISHOP OF,JESUS CHRIST OF,LATTER DAY SAINTS,RE:514-3004,D,20020408,74,1101,,N,,91765,DIAMOND BAR BLVD,DIAMOND BAR CA,F,20070205,0,50,,E,FL 12,84150,NORTH TEMPLE,SALT LAKE CITY UT,*(EX OF ST),1,,,*TR=PARCEL MAP AS PER BK 76 P 3-4 OF P M,,,,,LCR3800025U*,7100,1978,1978,16316
5214,5214,2343001042,13,24,0,0,19921027,133119,107789,ÿ,ÿ,0,0,0,0,0,0,"SILVER,ROBERT H AND CAROLYN D",,,,D,19700416,50,5939,,,,91401,BUFFALO AVE,LOS ANGELES CA,F,20140303,0,12249,,,,89138,CAMINITA PL,LAS VEGAS NV,,8,,,TRACT NO 5949   S 30 FT OF N 80 FT OF E,140 FT AND S 20 FT OF E 120 FT OF,,,,LAR3,7200,1955,1951,1499
5215,5215,2343001044,13,24,0,0,19921027,500840,298167,ÿ,ÿ,0,0,0,0,0,0,"SILVER,ROBERT H AND CAROLYN D",,,,D,19730503,50,5944,,,,91401,WOODMAN AVE,LOS ANGELES CA,F,20111209,0,12249,,,,89138,CAMINITA PL,LAS VEGAS NV,,8,,,TRACT NO 5949   LOT 2 AND S 20 FT OF,W 30 FT AND W 10 FT OF N 30 FT OF,S 50 FT AND N 50 FT OF,,,LAR3,7200,0,0,0
5236,5236,2359019007,13,24,0,0,19831114,3568571,11513582,7,4,35000,10000,15082153,35000,10000,0,BROTHERS OF HOLY CROSS OF TEXAS,,,C/O ST EDWARDS UNIVERSITY,D,19950605,98,13645,,,,91423,RIVERSIDE DR,LOS ANGELES CA,F,20100407,0,3001,,S,,78704,CONGRESS AVE,AUSTIN TX,,1,,,TRACT NO 14026   LOT (EX OF ST) COM AT,"NW COR OF LOT 1 TH S 89›58'30"" E 130 FT",TH S 30 FT TH E ON S LINE OF HUSTON ST,AND S ON W LINE OF SUNNYSLOPE AVE AND W,ON N LINE OF RIVERSIDE DR AND N ON E,LAR1,7200,0,0,0
5291,5291,2509016004,16,24,0,0,19680000,84689,1795268,ÿ,5,0,0,1879957,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,,RE:501-9397,D,19960616,80,13760,,,,91342,SAYRE ST,LOS ANGELES CA,F,20061004,0,50,,N,,84150,WEST TEMPLE,SALT LAKE CITY UT,TRACT NO 26815,1,,,,,,,,LARS,7200,1968,1968,21000
5349,5349,2664012023,16,24,0,0,20090806,987910,0,ÿ,ÿ,0,0,0,0,0,0,NISSAN MOTOR ACCEPTANCE CORP,,,C/O KELLY BAIR,D,19930630,80,10937,,,,91345,SEPULVEDA BLVD,LOS ANGELES CA,E,0,0,0,,,,37068,PO BOX 685001,FRANKLIN TN,PART OF,1,,,"TRACT # 24349 LOT COM S 7›55'14"" E","300 FT AND N 81›45'59"" E 103 FT FROM","NW COR OF LOT 1 TH S 7›55'14"" E 100 FT","TH N 81›45'59"" E TO W LINE OF SEPULVEDA","BLVD TH N THEREON TO A PT N 81›45'59""",LAC2,7200,2006,2006,29000
5359,5359,2685009025,16,24,0,0,20051114,923523,461760,ÿ,ÿ,0,0,0,0,0,0,KC PROPCO LLC,,,C/O VICTOR CORRAL,D,20030519,63,16901,,,,91343,LASSEN ST,LOS ANGELES CA,F,20110906,0,2601,,S,FL 9,33133,BAYSHORE DR,MIAMI FL,,18,2N,15.0,SUB NO 1 OF THE PROPERTY OF THE PORTER,LAND AND WATER CO   LOT COM AT SE COR,OF LOT 7 TR NO 21971 TH W ON S LINE OF,"SD TR 420 FT TH S 0›00'05"" E 130 FT TH",E ON N LINE OF LASSEN ST TO W LINE OF,LARS,7200,1973,1973,4530
5401,5401,2766004021,16,24,0,0,19650225,85719,212189,7,4,10000,0,297908,10000,0,0,CORP OF THE PRES OF L A CALIF E,STAKE CH OF JESUS CHRIST LDS,,,D,19950605,63,9244,,,,91325,ZELZAH AVE,LOS ANGELES CA,F,20070320,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,23,,,"TRACT NO 19930 LOTS 21,22 AND",,,,,LARA,7200,1964,1964,5244
5413,5413,2803039019,331,24,0,0,20030703,629298,706483,ÿ,ÿ,0,0,0,0,0,0,KC PROPCO LLC,,,C/O VICTOR CORRAL,D,19960616,61,18525,,,,91351,SOLEDAD CANYON RD,SANTA CLARITA CA,F,20110906,0,2601,,S,FL 9,33133,BAYSHORE DR,MIAMI FL,TR=43528,17,,,,,,,,SCCP,7200,1987,1987,7490
5436,5436,3015023026,1422,28,0,0,19880914,622516,645657,,,0,0,0,0,0,0,R I C 24 LTD,,,C/O BURKE & NICKEL,D,19940609,68,1709,,E,,93550,PALMDALE BLVD,PALMDALE CA,F,20040825,0,3336,,E,STE 217,74135,32ND ST,TULSA OK,,1,,,PARCEL MAP AS PER BK 185 P 28-30 OF P M,,,,,,7200,1987,1987,8334
5452,5452,3112012012,4866,24,0,0,20030703,275156,515930,ÿ,ÿ,0,0,0,0,0,0,KC PROPCO LLC,,,C/O VICTOR CORRAL,D,19950605,42,43536,,,,93536,22ND ST W,LANCASTER CA,F,20110906,0,2601,,S,FL 9,33133,BAYSHORE DR,MIAMI FL,,1,,,PARCEL MAP AS PER BK 189 P 22-23 OF P M,,,,,LRC3*,7200,1988,1988,7490
5458,5458,3126032095,5467,24,0,0,20140822,2030500,1520336,ÿ,ÿ,0,0,0,0,0,0,EDUC CAPITAL SOLUTIONS LLC LESR,ILEAD CHARTER SCH SUBLESSEE,ILEAD LANCASTER PROJ DEV SUBLESR,,D,19930701,42,244,,E,,93535,AVENUE K4,LANCASTER CA,F,20141209,0,909,,,STE 200,64106,WALNUT ST,KANSAS CITY MO,TR NO 32548 EX OF ST LOTS 27 AND 28,,,,,,,,,LRSP80-02*,7200,1995,1987,37192
5468,5468,3142001044,5636,24,0,0,20051114,171975,467776,ÿ,ÿ,0,0,0,0,0,0,KC PROPCO LLC,,,C/O VICTOR CORRAL,D,19930830,42,44400,,,,93535,FOXTON AVE,LANCASTER CA,F,20110906,0,2601,,S,FL 9,33133,BAYSHORE DR,MIAMI FL,P M 200-9-10,1,,,,,,,,LRR16500*,7200,1988,1988,6264
5469,5469,3210018003,9147,30,0,0,19980630,269764,47199,ÿ,ÿ,0,0,0,0,0,0,CALMAT CO OF ARIZONA,,,C/O FAS DEPT 1401-843,D,20020501,85,13910,,,,91387,LANG STATION RD,CANYON CNTRY CA,E,0,0,0,,,,35238,PO BOX 385014,BIRMINGHAM AL,,17,4N,14.0,"LAND DES IN DOC NO. 3218,  74-10-25",LOT (EX OF ST) COM N 89›43' E 81.2 FT,FROM W 1/4 COR OF SEC 17 T 4N R 14W TH,"N89›43' E 1635.31 FT TH N 0›17'23"" E","222 FT TH N 50›57'37"" W 167.73 FT TH N",LCM11/2*,7200,0,0,0
5921,5921,5086007025,67,28,0,0,20140422,14894404,2020000,ÿ,ÿ,0,0,0,0,0,0,BROADSTONE FAIRFAX LLC,,,C/O ALLIANCE RESIDENTIAL CO,,0,0,0,,,,0,,,F,20150331,0,2415,,E,STE 600,85016,CAMELBACK RD,PHOENIX AZ,"24 - 29 EX ST LOTS 30-32,102 ,POR LOT C",,,,TR=6826 1/2 VAC ALLEY ADJ ON N AND LOTS,,,,,LAC2,7200,0,0,0
6176,6176,5529020030,9970,25,0,0,20151203,1000000,135000,ÿ,ÿ,0,0,0,0,0,0,"RETEK,RAE ET AL",,"HOROWITZ,HELENE",,D,19930701,50,927,,N,,90046,FAIRFAX AVE,WEST HOLLYWOOD CA,F,20160202,0,5715,,,,11219,14TH AVE,BROOKLYN NY,,26,,,TRACT # 3567 EX OF ST,,,,,WDC2D*,7200,1966,1966,2473
6187,6187,5534029015,67,28,0,0,19940302,326640,93319,ÿ,ÿ,0,0,0,0,0,0,PARAMOUNT PICTURES CORP,,,RYAN & CO /TERRI WHITE,D,19930701,50,5807,,,,90038,GREGORY AVE,LOS ANGELES CA,F,20100405,0,2800,,,STE 4200,77056,POST OAK BLVD,HOUSTON TX,EL CENTRO TRACT,4,9,,,,,,,LAR3,7200,1992,1992,2160
6217,6217,5581003019,13,28,0,0,20110128,97252022,2651539,ÿ,ÿ,0,0,0,0,0,0,UNIVERSAL STUDIOS LLC,,,C/O KATHRYN MCCLURE,D,19960626,96,3737,,,,91608,BARHAM BLVD,UNIVERSAL CITY CA,F,20140714,0,1,,,FL 32,19103,COMCAST CTR,PHILADELPHIA PA,L.S. 22-32 POR OF LOT 1,,,,,,,,,LARE20,7200,1995,1994,9857
6225,6225,5594012007,13,4,0,2015,20021125,35073,107,ÿ,ÿ,0,0,0,0,0,0,"NEWGARD,JOHN R CO TR",JOHN R NEWGARD TRUST,,RICHARD BRANDWEIN,D,19940609,50,4118,,,,90039,CHEVY CHASE DR,LOS ANGELES CA,F,20110628,0,319,,E,,60004,IVY LN,ARLINGTON HEIGHTS IL,,3,,,WATTS SUB OF A PART OF THE RANCHO SAN,RAFAEL LOT EX OF ST COM ST NE COR LOT 3,TH S 8›25' E 127.23 FT TH S 81›35' W 60,FT TH NW 135.96 FT TO N LINE SD LOT TH E,THEREON 60.63 FT TO BEG PART OF,LAR1,7200,1970,1970,1280
6236,6236,5652007004,4045,24,0,0,19680318,34354,250782,7,4,10000,0,285136,10000,0,0,CORP OF THE PRES OF L A CALIF E,STAKE CH OF JESUS CHRIST LDS,,,D,19950605,29,1522,,,,91208,CANADA BLVD,GLENDALE CA,F,20070502,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,19,,,TRACT # 5948 LOTS 18 AND,,,,,GLC3*,7200,1970,1953,3894
6415,6415,6059001033,307,25,0,0,20150211,1319825,1725925,ÿ,ÿ,0,0,0,0,0,0,CHARTER SCHOOL SOLUTIONS TA LLC,,,C/O 4600 WELLS FARGO CENTER,D,19950605,50,10000,,S,,90047,WESTERN AVE,LOS ANGELES CA,F,20150303,0,90,,S,,55402,7TH ST,MINNEAPOLIS MN,OF LOTS 2 AND,3,,,TRACT NO 7464 EX OF STS LOT 1 AND ALL,,,,,LAC2,7200,1999,1999,18946
6551,6551,6342005024,6330,27,0,0,20081211,69989,43740,ÿ,ÿ,0,0,0,0,0,0,STATE TRUSTEE SERVICES LLC TR,3309 W BEVERLY BL LAND TRUST,,,D,19670923,56,3309,,W,,90640,BEVERLY BLVD,MONTEBELLO CA,F,20090219,0,4535,,W,STE 200,89102,SAHARA AVE,LAS VEGAS NV,,70,,,TRACT # 10664 SE 1/2 OF,,,,,MNC2*,7200,1948,1948,634
6610,6610,7182023026,5531,26,0,0,19690313,119480,157800,7,4,7000,0,277280,7000,0,0,CORP OF THE PRES OF L A CALIF E,STAKE CH OF JESUS CHRIST LDS,,,D,19950605,49,4579,,E,,90808,CARSON ST,LONG BEACH CA,F,20060118,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,22,F,,TRACT NO 9832   LOTS 21 AND,,,,,LBR34,7200,1950,1938,4257
6625,6625,7240011024,5531,26,0,0,20030708,908842,764652,ÿ,ÿ,0,0,0,0,0,0,KC PROPCO LLC,,,C/O VICTOR CORRAL,D,19930701,49,5251,,E,,90815,LAS LOMAS ST,LONG BEACH CA,F,20110906,0,2601,,S,FL 9,33133,BAYSHORE DR,MIAMI FL,,66,,,TRACT # 14673 LOT COM AT MOST E COR OF,"LOT 66 TH S 41›30'05"" W 178.46 FT TH N","68›43'50"" W 192.70 FT TH N 41›30'05"" E","247.67 FT TH N 88›28'53"" E 13.65 FT TH S","44›31'20"" E 171.25 FT TO BEG PART OF",LBCCA,7200,1990,1955,11410
6718,6718,7454002024,13245,26,0,0,19870529,1195734,700940,ÿ,5,0,0,1896674,0,0,0,CHURCH OF JESUS CHRIST OF,LATTER DAY SAINTS,,C/O TAX DIV RE:533-3962,D,20011218,50,739,,S,,90017,GRAND AVE,LOS ANGELES CA,F,20111107,0,50,,E,22 FLR,84150,NORTH TEMPLE,SALT LAKE CITY UT,"28, 29 AND",30,2,,"CENTRAL HOME PLACE   LOTS 25, 26, 27",,,,,LAC2,7200,1959,1946,11602
6838,6838,8420006017,3144,27,0,0,20030703,447137,240763,ÿ,ÿ,0,0,0,0,0,0,KC PROPCO LLC,,,C/O VICTOR CORRAL,D,19930701,21,4514,,N,,91722,LARK ELLEN AVE,COVINA CA,F,20110906,0,2601,,S,FL 9,33133,BAYSHORE DR,MIAMI FL,P M 29-10 LOT 3,,,,,,,,,LCC1*,7200,1971,1971,5492
6852,6852,8470032017,9495,27,0,0,20120522,660396,440258,ÿ,ÿ,0,0,0,0,0,0,MSK HOLDING CORP,,,C/O GREENSTREET REAL ESTATE,D,19940609,101,830,,W,,91790,MERCED AVE,WEST COVINA CA,F,20121030,0,2601,,S,9TH FL,33133,BAYSHORE DR,COCONUT GROVE FL,TO BEG PART OF,161,,,E J BALDWIN'S FOURTH SUB OF PART OF RO,LA PUENTE 0.8 MORE OR LESS AC COM AT,MOST E COR OF LOT 26 TRACT NO 24738 TH,SE ON SW LINE OF MERCED AVE 212.37 FT TH,"S 42›56'15"" W 167.08 FT TH N 48›28'55"" W",WCOP*,7200,1971,1971,9504
6901,6901,8665008034,16487,27,0,0,20030703,719557,411367,ÿ,ÿ,0,0,0,0,0,0,KC PROPCO LLC,,,C/O VICTOR CORRAL,D,20010723,79,455,,E,,91773,FOOTHILL BLVD,SAN DIMAS CA,F,20110906,0,2601,,S,FL 9,33133,BAYSHORE DR,MIAMI FL,LOT 2,,,,PM 146-47-49 THAT POR IN TRA 16487 OF,,,,,SDSP9*,7200,1986,1986,7630
6916,6916,8733012030,8415,27,0,0,20030703,550329,619120,ÿ,ÿ,0,0,0,0,0,0,KC PROPCO LLC,,,C/O VICTOR CORRAL,D,20040518,101,3443,,S,,91792,NOGALES ST,WEST COVINA CA,F,20110906,0,2601,,S,FL 9,33133,BAYSHORE DR,MIAMI FL,THAT POR IN TRA 8415 OF LOT 1,,,,PARCEL MAP AS PER BK 176 P 77-78 OF PM*,,,,,WCPCD1*,7200,1986,1986,7490
6917,6917,8735026014,8447,27,0,0,19990712,677946,653589,ÿ,ÿ,0,0,0,0,0,0,"ARCHER,JOHN T ET AL TRS",W L ABERNATHY TRUST AND,"ARCHER,J ET AL TRS CHARNO TRUST",C/O TRUST DEPT,D,19930701,100,800,,,,91789,FRANCESCA DR,WALNUT CA,E,0,0,0,,,,64083,PO BOX 200,RAYMORE MO,P M,14,,,*TR=PARCEL MAP AS PER BK 118 P 55-58 OF,,,,,WAC3*,7200,1985,1985,7740
7126,7126,2021014050,16,28,0,0,20061117,4604057,4413919,ÿ,ÿ,0,0,0,0,0,0,WEST HILL HOSPITAL,,,,D,20070513,50,7230,,,,91307,MEDICAL CENTER DR,LOS ANGELES CA,E,0,0,0,,,,37202,PO BOX 1504,NASHVILLE TN,PM 138-61-62 EX OF ST LOT A,,,,,,,,,LAP,7400,0,0,0
7136,7136,2217014079,13,28,0,0,19990921,761842,1460609,ÿ,ÿ,0,0,0,0,0,0,SPTMNR PROPERTIES TRUST,,,C/O PROPERTY TAX SOLUTIONS,D,19940609,98,6835,,,,91405,HAZELTINE AVE,LOS ANGELES CA,E,0,0,0,,,,75070,PO BOX 3525,MCKINNEY TX,P M 19-63 LOT A,,,,,,,,,LARD1.5,7400,1970,1970,13321
